labels,path
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h09.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f12.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h03.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d04.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a14.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f01.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h15.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su02.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a06.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n01.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f01.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n22.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a10.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n08.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa13.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a12.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f07.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d05.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d09.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n30.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h05.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f11.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d08.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d04.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h09.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f06.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a15.wav
